S_2011,S_2017,pdf_page,source_line
2829,2829,109,2829 其他合成纤维制造 2829 其他合成纤维制造
2811,2831,109,2831 生物基化学纤维制造 2811 化纤浆粕制造 新增，将原 2811、2812 部分内
2811,2832,109,2832 生物基、淀粉基新材料制造 2811 化纤浆粕制造 新增，将原 2811、2812 部分内
2911,2911,109,2911 轮胎制造 2911 轮胎制造
2912,2912,109,2912 橡胶板、管、带制造 2912 橡胶板、管、带制造
2913,2913,109,2913 橡胶零件制造 2913 橡胶零件制造
2914,2914,109,2914 再生橡胶制造 2914 再生橡胶制造
2915,2915,109,2915 日用及医用橡胶制品制造 2915 日用及医用橡胶制品制造
2919,2916,109,2916 运动场地用塑胶制造 2919 其他橡胶制品制造 新增，将 2919 部分内容调到此处
2919,2919,109,2919 其他橡胶制品制造 2919 其他橡胶制品制造 内容变更，原 2919 部分内容调
2921,2921,109,2921 塑料薄膜制造 2921 塑料薄膜制造
2922,2922,109,2922 塑料板、管、型材制造 2922 塑料板、管、型材制造
2923,2923,109,2923 塑料丝、绳及编织品制造 2923 塑料丝、绳及编织品制造
2924,2924,109,2924 泡沫塑料制造 2924 泡沫塑料制造
2925,2925,109,2925 塑料人造革、合成革制造 2925 塑料人造革、合成革制造
2926,2926,109,2926 塑料包装箱及容器制造 2926 塑料包装箱及容器制造
2927,2927,109,2927 日用塑料制品制造 2927 日用塑料制品制造
2929,2928,109,2928 人造草坪制造 2929 其他塑料制品制造 新增，原 2929 部分内容调到此
2928,2929,110,2929 塑料零件及其他塑料制品制 2928 塑料零件制造 更名，内容变更，原 2928 归入
3011,3011,110,3011 水泥制造 3011 水泥制造
3012,3012,110,3012 石灰和石膏制造 3012 石灰和石膏制造
3021,3021,110,3021 水泥制品制造 3021 水泥制品制造
3022,3022,110,3022 砼结构构件制造 3022 砼结构构件制造
3023,3023,110,3023 石棉水泥制品制造 3023 石棉水泥制品制造
3024,3024,110,3024 轻质建筑材料制造 3024 轻质建筑材料制造
3029,3029,110,3029 其他水泥类似制品制造 3029 其他水泥类似制品制造
3031,3031,110,3031 粘土砖瓦及建筑砌块制造 3031 粘土砖瓦及建筑砌块制造
3033,3032,110,3032 建筑用石加工 3033 建筑用石加工
3034,3033,110,3033 防水建筑材料制造 3034 防水建筑材料制造
3035,3034,110,3034 隔热和隔音材料制造 3035 隔热和隔音材料制造
3039,3039,110,3039 其他建筑材料制造 3039 其他建筑材料制造
3041,3041,110,3041 平板玻璃制造 3041 平板玻璃制造
3049,3042,110,3042 特种玻璃制造 3049 其他玻璃制造 新增，原 3049 部分内容调到此
3049,3049,110,3049 其他玻璃制造 3049 其他玻璃制造 内容变更，原 3049 部分内容调
3051,3051,110,3051 技术玻璃制品制造 3051 技术玻璃制品制造
3052,3052,110,3052 光学玻璃制造 3052 光学玻璃制造
3053,3053,110,3053 玻璃仪器制造 3053 玻璃仪器制造
3054,3054,110,3054 日用玻璃制品制造 3054 日用玻璃制品制造
