"hs_system","hs_level","hs_code","isic_revision","isic_level","isic_code","source"
"HS Combined","HS2","33","3","M","243","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","33","3","S","2424","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","33","3","S","2429","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","33","3","S","2430","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","34","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","34","3","L","36","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","34","3","M","242","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","34","3","M","369","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","34","3","S","2424","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","34","3","S","2429","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","34","3","S","3699","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","35","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","35","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","35","3","M","152","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","35","3","M","153","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","35","3","M","154","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","35","3","M","241","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","35","3","M","242","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","35","3","S","1520","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","35","3","S","1532","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","35","3","S","1549","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","35","3","S","2411","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","35","3","S","2429","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","36","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","36","3","L","36","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","36","3","M","242","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","36","3","M","369","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","36","3","S","2429","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","36","3","S","3699","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","37","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","37","3","L","74","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","37","3","L","92","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","37","3","M","242","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","37","3","M","749","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","37","3","M","921","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","37","3","S","2429","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","37","3","S","7494","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","37","3","S","9211","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","38","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","38","3","L","26","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","38","3","L","99","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","38","3","M","241","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","38","3","M","242","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","38","3","M","269","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","38","3","M","999","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","38","3","S","2411","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","38","3","S","2421","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","38","3","S","2422","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","38","3","S","2429","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","38","3","S","2692","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","38","3","S","2695","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","38","3","S","2699","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","38","3","S","9999","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","39","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","39","3","L","25","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","39","3","L","99","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","39","3","M","241","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","39","3","M","252","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","39","3","M","999","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","39","3","S","2413","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","39","3","S","2520","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","39","3","S","9999","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","40","3","L","01","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","40","3","L","02","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","40","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","40","3","L","25","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","40","3","L","99","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","40","3","M","011","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","40","3","M","020","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","40","3","M","241","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","40","3","M","251","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","40","3","M","999","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","40","3","S","0111","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","40","3","S","0200","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","40","3","S","2413","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","40","3","S","2511","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","40","3","S","2519","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","40","3","S","9999","HS_Combined_ISIC_Rev3"
