"from_year","to_year","level","from_code","to_code","to_code_all","source_pair"
"2011","2017","M","662","662","662","2011_2017"
"2011","2017","M","662","664","662","2011_2017"
"2011","2017","M","663","663","663","2011_2017"
"2011","2017","M","664","665","665","2011_2017"
"2011","2017","M","671","671","671","2011_2017"
"2011","2017","M","671","672","673","2011_2017"
"2011","2017","M","671","673","673","2011_2017"
"2011","2017","M","672","674","674","2011_2017"
"2011","2017","M","673","675","675","2011_2017"
"2011","2017","M","674","676","676","2011_2017"
"2011","2017","M","679","679","679","2011_2017"
"2011","2017","M","681","681","681","2011_2017"
"2011","2017","M","682","682","682","2011_2017"
"2011","2017","M","683","683","683","2011_2017"
"2011","2017","M","684","684","684","2011_2017"
"2011","2017","M","685","685","685","2011_2017"
"2011","2017","M","686","687","687","2011_2017"
"2011","2017","M","689","685","685","2011_2017"
"2011","2017","M","689","686","68","2011_2017"
"2011","2017","M","689","689","68","2011_2017"
"2011","2017","M","691","691","691","2011_2017"
"2011","2017","M","692","692","692","2011_2017"
"2011","2017","M","693","693","693","2011_2017"
"2011","2017","M","694","694","694","2011_2017"
"2011","2017","M","699","695","699","2011_2017"
"2011","2017","M","699","699","699","2011_2017"
"2011","2017","M","701","701","70","2011_2017"
"2011","2017","M","701","704","70","2011_2017"
"2011","2017","M","702","702","70","2011_2017"
"2011","2017","M","702","722","70","2011_2017"
"2011","2017","M","703","703","703","2011_2017"
"2011","2017","M","704","704","704","2011_2017"
"2011","2017","M","709","709","70","2011_2017"
"2011","2017","M","709","791","70","2011_2017"
"2011","2017","M","709","792","70","2011_2017"
"2011","2017","M","709","793","70","2011_2017"
"2011","2017","M","709","794","70","2011_2017"
"2011","2017","M","709","799","70","2011_2017"
"2011","2017","M","711","711","711","2011_2017"
"2011","2017","M","712","712","712","2011_2017"
"2011","2017","M","712","713","712","2011_2017"
"2011","2017","M","721","721","721","2011_2017"
"2011","2017","M","721","721","722","2011_2017"
"2011","2017","M","721","722","722","2011_2017"
"2011","2017","M","722","723","723","2011_2017"
"2011","2017","M","723","724","724","2011_2017"
"2011","2017","M","724","725","725","2011_2017"
"2011","2017","M","725","752","752","2011_2017"
"2011","2017","M","726","726","726","2011_2017"
"2011","2017","M","727","729","729","2011_2017"
"2011","2017","M","728","727","727","2011_2017"
"2011","2017","M","728","727","72","2011_2017"
"2011","2017","M","728","728","72","2011_2017"
"2011","2017","M","729","699","69","2011_2017"
"2011","2017","M","729","722","722","2011_2017"
"2011","2017","M","729","728","728","2011_2017"
"2011","2017","M","729","729","69","2011_2017"
"2011","2017","M","729","729","729","2011_2017"
"2011","2017","M","729","905","729","2011_2017"
"2011","2017","M","731","731","731","2011_2017"
"2011","2017","M","732","732","732","2011_2017"
"2011","2017","M","733","733","733","2011_2017"
"2011","2017","M","734","734","734","2011_2017"
"2011","2017","M","735","735","735","2011_2017"
"2011","2017","M","741","741","741","2011_2017"
"2011","2017","M","742","742","742","2011_2017"
"2011","2017","M","743","743","743","2011_2017"
"2011","2017","M","744","744","744","2011_2017"
"2011","2017","M","745","745","745","2011_2017"
"2011","2017","M","746","746","746","2011_2017"
"2011","2017","M","747","747","747","2011_2017"
"2011","2017","M","748","748","748","2011_2017"
"2011","2017","M","749","749","749","2011_2017"
"2011","2017","M","749","749","74","2011_2017"
"2011","2017","M","749","806","806","2011_2017"
"2011","2017","M","749","822","74","2011_2017"
"2011","2017","M","751","751","751","2011_2017"
"2011","2017","M","752","753","75","2011_2017"
"2011","2017","M","752","754","75","2011_2017"
"2011","2017","M","759","754","75","2011_2017"
"2011","2017","M","759","759","75","2011_2017"
"2011","2017","M","761","761","761","2011_2017"
"2011","2017","M","762","762","762","2011_2017"
"2011","2017","M","763","763","763","2011_2017"
"2011","2017","M","764","764","764","2011_2017"
"2011","2017","M","769","769","769","2011_2017"
"2011","2017","M","771","771","771","2011_2017"
"2011","2017","M","772","772","772","2011_2017"
"2011","2017","M","781","781","781","2011_2017"
"2011","2017","M","782","782","782","2011_2017"
"2011","2017","M","783","783","783","2011_2017"
"2011","2017","M","784","784","784","2011_2017"
"2011","2017","M","785","785","785","2011_2017"
"2011","2017","M","785","786","786","2011_2017"
"2011","2017","M","791","801","801","2011_2017"
"2011","2017","M","792","802","802","2011_2017"
"2011","2017","M","793","803","803","2011_2017"
"2011","2017","M","794","804","804","2011_2017"
"2011","2017","M","795","805","805","2011_2017"
"2011","2017","M","796","805","805","2011_2017"
"2011","2017","M","797","807","807","2011_2017"
"2011","2017","M","798","808","808","2011_2017"
"2011","2017","M","799","809","809","2011_2017"
"2011","2017","M","801","811","811","2011_2017"
"2011","2017","M","802","812","812","2011_2017"
"2011","2017","M","803","813","813","2011_2017"
"2011","2017","M","809","811","81","2011_2017"
"2011","2017","M","809","819","819","2011_2017"
"2011","2017","M","809","819","81","2011_2017"
"2011","2017","M","811","821","821","2011_2017"
"2011","2017","M","819","822","822","2011_2017"
"2011","2017","M","819","829","822","2011_2017"
"2011","2017","M","821","831","831","2011_2017"
"2011","2017","M","822","832","832","2011_2017"
"2011","2017","M","823","833","833","2011_2017"
"2011","2017","M","824","834","834","2011_2017"
"2011","2017","M","825","835","835","2011_2017"
"2011","2017","M","829","839","839","2011_2017"
"2011","2017","M","831","841","841","2011_2017"
"2011","2017","M","832","842","842","2011_2017"
"2011","2017","M","833","842","842","2011_2017"
"2011","2017","M","834","843","843","2011_2017"
"2011","2017","M","835","843","843","2011_2017"
"2011","2017","M","836","843","843","2011_2017"
"2011","2017","M","837","843","843","2011_2017"
"2011","2017","M","839","843","849","2011_2017"
"2011","2017","M","839","849","849","2011_2017"
"2011","2017","M","841","851","851","2011_2017"
"2011","2017","M","842","852","852","2011_2017"
"2011","2017","M","851","861","861","2011_2017"
"2011","2017","M","852","862","862","2011_2017"
"2011","2017","M","861","871","87","2011_2017"
"2011","2017","M","861","874","87","2011_2017"
"2011","2017","M","862","872","87","2011_2017"
"2011","2017","M","862","874","87","2011_2017"
"2011","2017","M","863","873","873","2011_2017"
"2011","2017","M","864","875","875","2011_2017"
"2011","2017","M","865","876","876","2011_2017"
"2011","2017","M","866","877","877","2011_2017"
"2011","2017","M","871","881","881","2011_2017"
"2011","2017","M","872","882","882","2011_2017"
"2011","2017","M","873","883","883","2011_2017"
