"gb_year","gb_level","gb_code","isic_revision","isic_level","isic_code","source"
"2002","L","26","3","S","2421","GB_T_4754_2002_ISIC_Rev3"
"2002","L","26","3","S","2422","GB_T_4754_2002_ISIC_Rev3"
"2002","L","26","3","S","2424","GB_T_4754_2002_ISIC_Rev3"
"2002","L","26","3","S","2429","GB_T_4754_2002_ISIC_Rev3"
"2002","L","27","3","L","24","GB_T_4754_2002_ISIC_Rev3"
"2002","L","27","3","L","36","GB_T_4754_2002_ISIC_Rev3"
"2002","L","27","3","M","242","GB_T_4754_2002_ISIC_Rev3"
"2002","L","27","3","M","369","GB_T_4754_2002_ISIC_Rev3"
"2002","L","27","3","S","2423","GB_T_4754_2002_ISIC_Rev3"
"2002","L","27","3","S","3699","GB_T_4754_2002_ISIC_Rev3"
"2002","L","28","3","L","21","GB_T_4754_2002_ISIC_Rev3"
"2002","L","28","3","L","24","GB_T_4754_2002_ISIC_Rev3"
"2002","L","28","3","M","210","GB_T_4754_2002_ISIC_Rev3"
"2002","L","28","3","M","243","GB_T_4754_2002_ISIC_Rev3"
"2002","L","28","3","S","2101","GB_T_4754_2002_ISIC_Rev3"
"2002","L","28","3","S","2430","GB_T_4754_2002_ISIC_Rev3"
"2002","L","29","3","L","19","GB_T_4754_2002_ISIC_Rev3"
"2002","L","29","3","L","25","GB_T_4754_2002_ISIC_Rev3"
"2002","L","29","3","M","192","GB_T_4754_2002_ISIC_Rev3"
"2002","L","29","3","M","251","GB_T_4754_2002_ISIC_Rev3"
"2002","L","29","3","S","1920","GB_T_4754_2002_ISIC_Rev3"
"2002","L","29","3","S","2511","GB_T_4754_2002_ISIC_Rev3"
"2002","L","29","3","S","2519","GB_T_4754_2002_ISIC_Rev3"
"2002","L","30","3","L","19","GB_T_4754_2002_ISIC_Rev3"
"2002","L","30","3","L","25","GB_T_4754_2002_ISIC_Rev3"
"2002","L","30","3","M","192","GB_T_4754_2002_ISIC_Rev3"
"2002","L","30","3","M","252","GB_T_4754_2002_ISIC_Rev3"
"2002","L","30","3","S","1920","GB_T_4754_2002_ISIC_Rev3"
"2002","L","30","3","S","2520","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","L","26","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","L","31","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","L","36","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","M","261","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","M","269","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","M","319","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","M","369","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","S","2610","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","S","2691","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","S","2692","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","S","2693","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","S","2694","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","S","2695","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","S","2696","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","S","2699","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","S","3190","GB_T_4754_2002_ISIC_Rev3"
"2002","L","31","3","S","3699","GB_T_4754_2002_ISIC_Rev3"
"2002","L","32","3","L","27","GB_T_4754_2002_ISIC_Rev3"
"2002","L","32","3","M","271","GB_T_4754_2002_ISIC_Rev3"
"2002","L","32","3","S","2710","GB_T_4754_2002_ISIC_Rev3"
"2002","L","33","3","L","27","GB_T_4754_2002_ISIC_Rev3"
"2002","L","33","3","L","28","GB_T_4754_2002_ISIC_Rev3"
"2002","L","33","3","M","272","GB_T_4754_2002_ISIC_Rev3"
"2002","L","33","3","M","273","GB_T_4754_2002_ISIC_Rev3"
"2002","L","33","3","M","289","GB_T_4754_2002_ISIC_Rev3"
"2002","L","33","3","S","2720","GB_T_4754_2002_ISIC_Rev3"
"2002","L","33","3","S","2732","GB_T_4754_2002_ISIC_Rev3"
"2002","L","33","3","S","2899","GB_T_4754_2002_ISIC_Rev3"
"2002","L","34","3","L","28","GB_T_4754_2002_ISIC_Rev3"
"2002","L","34","3","L","34","GB_T_4754_2002_ISIC_Rev3"
"2002","L","34","3","L","36","GB_T_4754_2002_ISIC_Rev3"
"2002","L","34","3","M","281","GB_T_4754_2002_ISIC_Rev3"
"2002","L","34","3","M","289","GB_T_4754_2002_ISIC_Rev3"
"2002","L","34","3","M","342","GB_T_4754_2002_ISIC_Rev3"
"2002","L","34","3","M","369","GB_T_4754_2002_ISIC_Rev3"
"2002","L","34","3","S","2811","GB_T_4754_2002_ISIC_Rev3"
"2002","L","34","3","S","2812","GB_T_4754_2002_ISIC_Rev3"
"2002","L","34","3","S","2892","GB_T_4754_2002_ISIC_Rev3"
"2002","L","34","3","S","2893","GB_T_4754_2002_ISIC_Rev3"
"2002","L","34","3","S","2899","GB_T_4754_2002_ISIC_Rev3"
"2002","L","34","3","S","3420","GB_T_4754_2002_ISIC_Rev3"
"2002","L","34","3","S","3691","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","L","27","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","L","28","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","L","29","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","L","39","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","M","273","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","M","281","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","M","289","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","M","291","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","M","292","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","M","391","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","M","392","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","S","2731","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","S","2812","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","S","2813","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","S","2891","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","S","2899","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","S","2911","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","S","2912","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","S","2913","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","S","2914","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","S","2919","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","S","2922","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","S","3915","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","S","3922","GB_T_4754_2002_ISIC_Rev3"
"2002","L","35","3","S","3923","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","L","29","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","L","33","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","M","291","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","M","292","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","M","293","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","M","331","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","S","2914","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","S","2919","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","S","2921","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","S","2922","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","S","2923","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","S","2924","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","S","2925","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","S","2926","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","S","2927","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","S","2929","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","S","2930","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","S","3311","GB_T_4754_2002_ISIC_Rev3"
"2002","L","36","3","S","3312","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","L","28","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","L","29","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","L","34","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","L","35","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","L","50","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","M","289","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","M","292","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","M","341","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","M","342","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","M","343","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","M","351","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","M","352","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","M","353","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","M","359","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","M","502","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","S","2899","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","S","2929","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","S","3410","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","S","3420","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","S","3430","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","S","3511","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","S","3512","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","S","3520","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","S","3530","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","S","3591","GB_T_4754_2002_ISIC_Rev3"
